"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"89","c_P06","5","DIFF",1.83200105436542,109.927822969697,-0.98791628371207,1.30872784677666,0.398245861482515,1,5.4,9,9,9,"high",0.0961629712069217,-14.2596818108142,"DIFF","DIFF"
"90","c_P06","5","EASY",0.936096565512928,90.3809932743363,-1.39622169263558,0.155649164738244,-0.240806410579089,1,5.2,9,9,9,"high",-0.55287367718317,-13.2572882017752,"EASY","EASY"
"91","c_P07","0","CONTROL",-0.154443247903679,74.5109518039216,-0.209323367413276,-2.70275084202297,-0.497678253142721,1,1.2,6.5,7,6,"low",-1.3360194955235,-6.12482430195194,"CONTROL","CONTROL"
"92","c_P07","0","DIFF",0.0978564807426703,82.470803844358,0.622871564795847,-0.784500115693709,3.05266832835987,0.25,12,6.5,7,6,"low",-0.137518314985706,-10.2893052946019,"DIFF","DIFF"
"93","c_P07","0","EASY",0.391807802190549,87.7495295,0.652003840149768,-0.192847669472526,3.39210672301917,1,4.6,6.5,7,6,"low",0.399137546035727,-13.8659367813887,"EASY","EASY"
"94","c_P07","1","CONTROL",-0.610493927694915,68.7527371047619,-0.191328361733478,-1.98894370908763,-0.497678253142721,1,2,6.5,7,6,"low",-0.71019522286315,-8.60526039163831,"CONTROL","CONTROL"
"95","c_P07","1","DIFF",0.912154272031798,101.503409231527,1.52111403381449,0.693540927737576,4.19468968524883,0,13.4,6.5,7,6,"low",-0.29162564949093,-3.80486565041465,"DIFF","DIFF"
"96","c_P07","1","EASY",1.1521682111998,96.9568241580756,1.1739698736118,0.250227995349129,1.50420906822568,1,2.6,6.5,7,6,"low",-0.126837038074965,-13.712606440219,"EASY","EASY"
"97","c_P07","2","CONTROL",-0.697141423572645,67.8064362227979,-0.437342081704309,-1.5776703008053,-0.497678253142721,1,4.4,6.5,7,6,"low",-1.51703188336816,-3.40646505630858,"CONTROL","CONTROL"
"98","c_P07","2","DIFF",0.516613738070764,88.8665273984375,1.33133697436287,1.77449255579103,3.75480387277775,0.5,11.2,6.5,7,6,"low",0.83978408714353,-18.2025917876518,"DIFF","DIFF"
"99","c_P07","2","EASY",0.119491760039065,82.2447004414063,0.734736115618601,0.70350830623714,2.60951680811193,1,5,6.5,7,6,"low",0.707971210987078,-16.7157935274566,"EASY","EASY"
